Coverged local optima,Time(s)
13.0,6.071250915527344
13.0,6.08562445640564
13.0,6.8528220653533936
13.0,6.470378875732422
13.0,6.481987953186035
13.0,6.472621202468872
13.0,6.475981712341309
13.0,6.523762226104736
13.0,6.489381313323975
13.0,6.595512628555298
13.0,6.603004455566406
13.0,6.631077527999878
13.0,6.984921216964722
13.0,6.568678855895996
13.0,6.665926218032837
13.0,6.603792190551758
13.0,6.644779682159424
13.0,6.604344844818115
13.0,6.859165668487549
13.0,6.600320339202881
13.0,6.6793482303619385
13.0,6.64028263092041
13.0,6.700332403182983
13.0,6.405007839202881
13.0,6.77623438835144
13.0,6.716285467147827
13.0,6.518963098526001
13.0,6.8308258056640625
13.0,6.701328754425049
13.0,6.739996433258057
13.0,6.615260601043701
13.0,6.782611846923828
13.0,6.7168357372283936
13.0,6.586727857589722
13.0,6.6785569190979
13.0,6.637521028518677
13.0,6.799414157867432
13.0,6.531360149383545
13.0,6.576407194137573
13.0,6.801501274108887
13.0,6.735132932662964
13.0,6.984405040740967
13.0,7.3163886070251465
13.0,7.020276308059692
13.0,7.115581512451172
13.0,7.128336191177368
13.0,7.123510837554932
13.0,7.079383134841919
13.0,7.0097336769104
13.0,6.905797958374023
13.0,6.873941421508789
13.0,6.959049940109253
13.0,6.923551797866821
13.0,6.937300443649292
13.0,6.985206842422485
13.0,7.051984071731567
13.0,7.184653043746948
13.0,6.91124153137207
7.0,7.171165466308594
7.0,7.129014015197754
7.0,6.945019960403442
7.0,7.156766414642334
7.0,7.4903199672698975
7.0,7.360669374465942
7.0,6.837886095046997
7.0,7.408356189727783
7.0,7.416060447692871
7.0,7.368459701538086
7.0,7.278578042984009
7.0,7.087844610214233
7.0,7.259349822998047
7.0,7.611647605895996
7.0,7.003498554229736
7.0,6.780174970626831
7.0,6.396910905838013
7.0,6.800421953201294
7.0,6.889923334121704
7.0,7.336827278137207
7.0,7.064904689788818
7.0,7.214829683303833
7.0,7.56480598449707
7.0,7.012502193450928
7.0,6.884934186935425
7.0,7.043209552764893
7.0,6.991879940032959
7.0,6.873342752456665
7.0,6.967392921447754
7.0,8.084727048873901
7.0,7.022909164428711
7.0,6.9540605545043945
7.0,6.85070013999939
7.0,7.078277349472046
7.0,6.946161270141602
7.0,7.020598888397217
7.0,6.883984804153442
7.0,7.093323230743408
7.0,6.965064287185669
7.0,7.049168825149536
7.0,6.866177558898926
7.0,6.94787073135376
7.0,6.189834117889404
7.0,6.2878077030181885
7.0,6.1749107837677
7.0,6.084524631500244
7.0,6.3259313106536865
7.0,6.17978835105896
7.0,6.12277364730835
7.0,5.9756693840026855
7.0,6.0421013832092285
7.0,6.572000026702881
7.0,6.615482330322266
7.0,6.604194164276123
7.0,6.579684495925903
7.0,6.759935140609741
7.0,6.784358263015747
7.0,6.86001443862915
7.0,6.642004728317261
7.0,6.683263063430786
7.0,6.83699369430542
7.0,6.896671533584595
7.0,6.673171758651733
7.0,6.694296360015869
7.0,7.148435354232788
7.0,6.686473608016968
7.0,6.852907419204712
7.0,6.616934299468994
7.0,6.7609734535217285
7.0,6.600298881530762
7.0,6.710954427719116
7.0,9.528663635253906
7.0,9.255391359329224
7.0,10.193068742752075
7.0,8.599929809570312
7.0,8.131009578704834
7.0,8.654871940612793
7.0,8.00671935081482
7.0,8.333188533782959
7.0,8.589133501052856
7.0,8.26302695274353
7.0,8.319636821746826
7.0,8.557183265686035
7.0,8.186103105545044
7.0,8.121920824050903
7.0,8.549177169799805
7.0,8.365042686462402
7.0,8.441767930984497
7.0,8.578986883163452
7.0,7.9900829792022705
7.0,8.43434476852417
7.0,8.693126201629639
7.0,8.338634967803955
7.0,8.902106761932373
7.0,8.564470291137695
7.0,8.504507303237915
7.0,8.36413288116455
7.0,8.187610626220703
7.0,8.308876276016235
7.0,8.385298252105713
7.0,8.71700382232666
7.0,11.310081481933594
7.0,9.04188871383667
7.0,8.487796306610107
7.0,8.229423761367798
7.0,8.012310266494751
7.0,8.22854495048523
7.0,8.573287963867188
7.0,8.082226037979126
7.0,8.143054485321045
7.0,7.906062126159668
7.0,8.10959792137146
7.0,8.4441499710083
7.0,8.66226077079773
7.0,8.241151332855225
7.0,7.855244159698486
7.0,8.417376279830933
7.0,8.430045366287231
7.0,7.942480087280273
